intro_location,gender,age,education,occupation,marital_status,occupation_partner,hh_members_total,hh_member_rela_1,hh_educ_1,hh_occ_1,hh_age_1,hh_kids_1,hh_live_1,hh_member_rela_2,hh_educ_2,hh_occ_2,hh_age_2,hh_kids_2,hh_live_2,hh_member_rela_3,hh_educ_3,hh_occ_3,hh_age_3,hh_kids_3,hh_live_3,hh_member_rela_4,hh_educ_4,hh_occ_4,hh_age_4,hh_kids_4,hh_live_4,A15_5,A16_5,A17_5,hh_age_5,hh_kids_5,A20_5,A15_6,A16_6,A17_6,hh_age_6,hh_kids_6,hh_children,child_count,child1_educ,child1_occ,talked_to_yesterday,H2i1,H2i2,H2i3,H2i4,H2i5,H2i6,friends,family,clients,talk_to_most,paid_expenses,fund_I2_1,fund_I2i,paid_for_you,fund_I4_1,fund_I4i,chama,chama_freq,loan,fund_I7i,fund_I8_1,friend_loan,fund_I10_1,med_insurance,med_i_used,med_i_for,med_source_funds,fund_I15,need_source,sofa,chairs,bed,fund_I17_4,cellphone,mattress,own_savings,loan_relatives,gifts,loans_from_friends,gifts_from_friends,fund_I19_6,fund_I19_7,fund_I19_8,church,church_members,church_friends,church_loan,most_food,fav_hobbie,floor,USAIDJ3_1,showers,toilet,rooms,water_source,main_toilet,electricity,refrigerator,USAIDJ11,own_house,jiko_coal,iron,USAIDJ14,radio,radio_cassette,electric_gas_cooker,charcoal_iron,livestock,personal_daily_income,hh_daily_income,passed_away_5,passed_away_10,hh_chronic_illness5,hh_chronic_illness10,main_finance,second_finance,savings_account,interests,shares,collateral,guarantor,investment,inflation,pension,mortgage,nssf,nhif,adr,nairobi_se,deposit_protection_fund,credit_ref,policy_comp,finlitK4_8,crb_report,scam_invest,scam_invest12,scam_lost,FA_bank,FA_ins_comp,other_spec,fin_prov_trust1,fin_prov_trust2,high_interest,low_interest,old_worry,reg_aside_particular,reg_aside_unexpected,paln_allocate_money,live_today,trouble_money_last,finlitK26,loan_for_loan,live_minus_bank,finlitK29,finlitK30_1,mpesa_comfort,mshwari_account,mshwari_comfort,L3,L5,L7,mpesa,mshwari,duration,age40_49,age50_59,age60_69,age70_up,age_sum,educ_sum,relationship,total_educ,total_age_children,very_poor,not_very_poor,not_org_floor,piped_water,flush_toilet,home_elec,time_pref,urban,peri_urban,rural,bank,ag_land,network_comfort,sleeping,small_bus_owner,small_bus_partner,inf_sec_worker,casual_worker,hh_very_poor,pat_index2,pat_index3,random,insample,pat_index2_10,pat_index2_20,pat_index2_35,lpat_index2
Kibera,Female,43,College 4,Teacher,"Monogamous couple (one man, one wife)",Carpenter,1,self/respondent,College 4,Teacher,43,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,University 4,Not working,5,7,7,7,7,7,,2,1,2,Client,Yes,sibling,1,No,,,Yes,4,No,0,,No,,No,,,"Contributions from friends'family, politicians","Borrow from welfare,loan from rosca,organize a fund raiser",Yes,Cellphone,Sofa,Bed,Television,Livestock ,,Own savings,Loan from relatives,Merry-go-round (ROSCA),,,,,,Yes,3000,50,50,Tea,Read the bible,Cement,Biogas,0,0,1,Piped into plot/yard,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,Yes,Yes,Yes,1,No,No,Yes,No,No,500,500,No,No,No,Yes,You ,You ,Savings account,Interest,Shares,Guarantor,Investment,Pension,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,No,,,Bank,SACCO,,SACCO,SACCO,Bank,ASCA/ROSCA/chama,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Keeping in touch with friends and family,Read newspaper,6,Yes,7,1,1,0,1,1,58,1,,,,40-49,College,1,23,43,0,0,1,1,0,1,1,1,0,0,1,0,7,0,0,0,0,0,0,0.53846157,0.375,0.13352379,1,0,0,0,0.43078294
Kibera,Male,62,Form 4,Electrician,"Monogamous couple (one man, one wife)",Not working,3,oldest/only spouse,Standard 4,Not working,37,Yes,Yes,own child,Form 2,Not working,18,No,,self/respondent,Form 4,Electrician,62,Yes,Yes,,,,,,,,,,,,,,,,,,No,,None,Not working,4,7,7,7,7,,,4,0,1,Client,Yes,oldest/only spouse,5,No,,,Yes,4,No,0,,Yes,Medical expenses/ emergency,No,,,"Selling assets,loans","Harambee,charitable organizations,",Yes,Sofa,Table,Television,,Cellphone,Bed,Loan from relatives,Loan from friends,Merry-go-round (ROSCA),,,,,,Yes,50,21,5,Ugali,"Watching TV,spending with friends",Cement,Electricity,0,0,1,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,Yes,1,Yes,Yes,No,No,No,500,900,No,No,Yes,Yes,You ,Spouse,Savings account,Interest,Shares,Investment,Pension,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Nairobi Securities Exchange (NSE),,,,,,No,No,,,Television,,,Mshwari/KCB M-PESA,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Microfinance,SACCO,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Putting food on the table,Watched television,7,No,,1,1,1,1,1,223,,,1,,60-69,Secondary,1,0,117,0,0,1,0,0,1,1,1,0,0,0,0,7,0,0,0,0,0,0,0.46153846,0.5,0.42693362,1,0,0,0,0.37948963
kibera,Male,69,None,Casual worker,"Monogamous couple (one man, one wife)",Casual worker,6,self/respondent,None,Casual worker,69,Yes,Yes,oldest/only spouse,Standard 8,Casual worker,38,Yes,Yes,own child,Standard 8,Casual worker,21,Yes,Yes,own child,Standard 7,Casual worker,26,Yes,Yes,grandchild,Form 4,Not working,16,,,grandchild,Standard 3,Not working,9,,No,,,,3,7,7,7,,,,1,1,0,oldest/only spouse,Yes,own child,1,No,,,Yes,1,No,0,,Yes,Medical expenses/ emergency,No,,,"Charitable organization,loans from friends,relatives","Hold harambee,seek help from charitable organizations and well wishers",No,Television,,,,Cellphone,Sofa,Merry-go-round (ROSCA),,,,,,,,Yes,26,3,1,"Tea,bread",Nothing,Cement,Lignite / Coal or Charcoal,0,0,2,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,Yes,1,Yes,No,No,No,No,200,500,No,No,No,No,Jointly with spouse,Jointly with spouse,Savings account,,,,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,No,,,Chama/ROSCA,,,Mobile Money Agents - MPESA/Airtel Money/Orange Money/Tanagaza Cash,Mshwari/KCB M-PESA,Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Putting food on the table,Watched television,7,No,,1,1,1,1,1,151,,,1,,60-69,None,1,0,179,0,1,1,0,0,1,1,1,0,0,0,0,7,0,0,0,0,1,0,0.38461539,0.375,0.38223618,1,0,0,1,0.32542241
Kbera,Male,42,None,Not working,Widow/widower,,3,self/respondent,None,Not working,42,Yes,No,grandchild,Standard 3,Not working,8,,,grandchild,Pre-school,Not working,5,,,,,,,,,,,,,,,,,,,,Yes,3,College 4,Civil servant,4,7,7,7,7,,,4,4,0,own child,Yes,own child,3,Yes,own child,1,No,,,0,,,,No,,,Own child,"Own relatives,conduct a harambee",Yes,Chairs,,,,Bed,,Loan from relatives,,,,,,,,Yes,400,5,0,"Ugali,rice,githeri",Nothing,Earth,Do not cook in the house,0,0,1,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,No,No,,No,No,No,No,No,0,0,No,Yes,No,Yes,You ,You ,Savings account,Interest,Investment,,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,No,,,Don‰Ûªt know,,,Don't know,Don't know,Don't know,Don't know,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Putting food on the table,Talked to neighbor,7,No,,1,0,1,1,1,49,1,,,,40-49,None,0,25,55,1,,0,0,0,1,1,1,0,0,0,0,7,0,0,0,0,0,1,0.07692308,0,0.99442923,1,1,1,1,0.074107975
kibera,Female,42,Form 2,Own a small business,"Monogamous couple (one man, one wife)",Teacher,4,self/respondent,Form 2,Own a small business,42,Yes,Yes,own child,Standard 8,Casual worker,19,No,,own child,Form 3,Not working,16,,,own child,Form 4,Casual worker,22,No,,,,,,,,,,,,,Yes,1,Standard 5,Not working,6,7,5,6,4,3,5,3,3,2,sibling,No,,,No,,,Yes,2,No,0,,Yes,Medical expenses/ emergency,No,,,"Biashara,chama",Chama loan,Yes,Television,Agricultural land,Livestock ,,Sofa,Chairs,Loan from relatives,Merry-go-round (ROSCA),,,,,,,Yes,2000,20,10,"Rice,ugali,samaki,viazi tamu,ndizi","Read the bible,newspaper,listening radio,cleaning",Earth,Paraffin stove,0,0,0,Public tap,Covered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,Yes,No,No,No,Yes,1000,2000,No,Yes,No,No,You ,Chidren,Savings account,Interest,Shares,Investment,Pension,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Credit Reference Bureau (CRB),,,,,,No,No,,,Bank,Chama/ROSCA,,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Mshwari/KCB M-PESA,Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Educating yourself or your family,Listened to radio,7,Yes,5,1,0,1,1,1,60,1,,,,40-49,Secondary,1,6,99,0,0,0,0,0,1,0.5,1,0,0,1,0,5,0,1,0,0,0,0,0.30769232,0.25,0.31035039,1,0,0,1,0.268264
Kibera,Female,41,Form 4,Own a small business,Single,,3,self/respondent,Form 4,Own a small business,41,Yes,Yes,own child,Form 4,Teacher,20,No,,own child,Form 2,Not working,16,,,,,,,,,,,,,,,,,,,,No,,,,20,7,6,5,4,3,2,20,3,20,coworker,No,,,No,,,Yes,3,Yes,5000,Business investment,Yes,Business investment,No,,,"Business money,loan,nhif card","Nhif card,church harambee,chief mchango card,chama loan,own money",Yes,Cellphone,Chairs,Table,Bed,Kerosene Stove,Super Drum,Loan from relatives,Bank loan,,,,,,,Yes,5000,100,20,"Ugali,Michele,githeri,chapati","Watch TV,read newspaper,visit the sick in hospital,choir",Cement,Paraffin stove,0,0,1,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,Yes,Yes,No,,Yes,No,No,No,No,500,500,No,Yes,No,No,You ,Chidren,Savings account,Interest,Shares,Collateral,Investment,Inflation,Pension,Mortgage,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,Yes,No,Yes,Other (SPECIFY),,Co workers,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Bank,Bank,Don't know,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Educating yourself or your family,Watched television,5,Yes,3,0,0,1,1,0,54,1,,,,40-49,Secondary,0,0,77,0,0,1,0,0,1,0.89999998,1,0,0,0,0,4.5,0,1,0,0,0,0,0.38461539,0.25,0.22609411,1,0,0,1,0.32542241
Kibera,Female,47,Form 4,Own a small business,Single,,4,self/respondent,Form 4,Own a small business,47,Yes,Yes,own child,Form 4,Not working,28,No,,own child,Form 4,Not working,21,No,,own child,Standard 8,Not working,12,,,,,,,,,,,,,,No,,,,10,2,1,7,5,3,6,3,2,5,other spouse,Yes,own child,1,Yes,parent,1,Yes,1,No,0,,No,,No,,,Mchango,Nhif insurance,Yes,Agricultural land,Livestock ,,,Agricultural land,,Gift from relatives,,,,,,,,Yes,1000,35,0,"Ugali,mchele",Cleaning the house,Cement,Paraffin stove,0,0,0,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,Yes,1,Yes,Yes,No,No,No,300,300,No,Yes,Yes,No,You ,Chidren,Savings account,Interest,Shares,Collateral,Guarantor,Investment,Inflation,Pension,Mortgage,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Alternative Dispute Resolution (ADR),Nairobi Securities Exchange (NSE),Deporsit Protection Fund (DPF),Credit Reference Bureau (CRB),Policy Conpensation Fund (PCF),,No,No,,,Friends/Family,,,Mobile Money Agents - MPESA/Airtel Money/Orange Money/Tanagaza Cash,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Bank,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Watched television,7,Yes,6,0,0,1,1,1,49,1,,,,40-49,Secondary,0,0,108,0,0,1,0,0,1,1,1,0,0,0,1,3.8,0,1,0,0,0,0,0.46153846,0.5,0.1017096,1,0,0,0,0.37948963
Kibera,Female,43,Standard 5,Own a small business,Widow/widower,,10,self/respondent,Standard 5,Own a small business,43,Yes,Yes,brother/sister-in-law,None,Mason,46,No,,own child,Standard 7,Not working,23,No,,own child,Standard 1,Not working,16,,,own child,Standard 7,Not working,14,,,own child,Standard 4,Not working,12,,Yes,1,Standard 8,Not working,5,2,7,4,6,5,,5,0,5,neigbour,Yes,own child,9,Yes,Other unrelated,1,Yes,1,Yes,1,Medical expenses/ emergency,Yes,No particular reason,No,,,"ROSCA,Church fundraising.","Give her loan,Ask for help from her friends.",Yes,Chairs,Bed,Mattress,,Kerosene Stove,Kerosene Lamps,Loan from friends,Merry-go-round (ROSCA),,,,,,,Yes,40,40,2,"Ugali,vegetables, Omena.",Sleeping.,Cement,Lignite / Coal or Charcoal,0,0,1,Piped into plot/yard,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,No,No,No,Yes,Yes,500,500,Yes,Yes,Yes,Yes,You ,You ,Savings account,Interest,Shares,Guarantor,,,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Alternative Dispute Resolution (ADR),Credit Reference Bureau (CRB),,,,,No,No,,,Self,,,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Mshwari/KCB M-PESA,Bank,Mshwari/KCB M-PESA,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Attended social gathering/meeting,7,No,,0,0,1,1,1,52,1,,,,40-49,Primary,0,9,182,0,0,1,1,0,1,0.5,1,0,0,0,0,4.8000002,0,1,0,0,0,0,0.46153846,0.25,0.96265066,1,0,0,0,0.37948963
Kibera,Female,44,Standard 8,Own a small business,"Monogamous couple (one man, one wife)",Not working,6,self/respondent,Standard 8,Own a small business,44,Yes,Yes,oldest/only spouse,Standard 7,Not working,46,Yes,Yes,own child,Standard 8,Welding,27,No,,own child,Standard 8,Work in a store,22,Yes,Yes,own child,Standard 8,Not working,16,,,own child,Standard 5,Not working,14,,Yes,2,Form 3,Not working,5,7,7,7,7,5,,2,3,0,own child,Yes,own child,3,No,,,Yes,30,No,0,,Yes,No particular reason,No,,,Loans from ROSCAs,"Ask for Mshwari,check her account,ask for funds from Roscas",Yes,"Radio, Tape or CD-Player",,,,Sofa,Chairs,Loan from friends,Merry-go-round (ROSCA),,,,,,,Yes,80,2,2,"Tea,ugali Omena, Vegetables",Cleaning home,Cement,Lignite / Coal or Charcoal,0,0,1,Piped into plot/yard,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,Yes,No,No,Yes,Yes,500,500,No,No,Yes,Yes,You ,You ,Savings account,Interest,Shares,Guarantor,Investment,Inflation,Pension,Mortgage,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),Alternative Dispute Resolution (ADR),Nairobi Securities Exchange (NSE),Deporsit Protection Fund (DPF),Credit Reference Bureau (CRB),Policy Conpensation Fund (PCF),,No,Yes,No,Yes,Self,,,"Mobile Money Provider (MPESA, Airtel money, Orange money)",Bank,Bank,Mobile Money Agents - MPESA/Airtel Money/Orange Money/Tanagaza Cash,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Putting food on the table,Gone to work,7,No,,0,1,1,1,1,49,1,,,,40-49,Primary,1,22,169,0,0,1,1,0,1,0.5,1,0,0,0,0,6.5999999,0,1,0,0,0,0,0.53846157,0.375,0.99010706,1,0,0,0,0.43078294
Kibera,Female,42,Standard 8,Own a small business,Polygamous marriage (more than one wife),,8,self/respondent,Standard 8,Own a small business,42,Yes,Yes,oldest/only spouse,Standard 4,Own a small business,57,Yes,Yes,own child,Form 4,Not working,27,Yes,No,own child,Form 3,Not working,17,No,,nephew/niece,Form 3,Not working,17,No,,own child,Form 1,Teacher,15,,No,,,,6,4,4,5,3,7,2,6,0,7,own child,Yes,sibling,1,Yes,oldest/only spouse,1,Yes,4,Yes,5,School expenses,Yes,School expenses,Yes,No,,"NHIF,Insurance Cover,Fundraising","To use NHIF,Organize Harambee.",No,Livestock ,,,,Cellphone,Sofa,Merry-go-round (ROSCA),,,,,,,,Yes,500,100,10,"Ugali vegetables,chapati",Watching Tv,Earth,Lignite / Coal or Charcoal,0,0,0,Public tap,Uncovered pit latrine,"National electricity service (i.e., Kenya KPLC)",No,,No,Yes,No,,No,No,No,Yes,Yes,300,800,No,Yes,Yes,Yes,Spouse,Spouse,Savings account,Interest,Shares,Guarantor,Investment,Mortgage,,,,National Social Security Fund (NSSF),National Health insurance Fund (NHIF),,,,,,,No,Yes,Yes,No,Chama/ROSCA,,,Bank,Mshwari/KCB M-PESA,Bank,Mshwari/KCB M-PESA,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"Keeping or get a new job/ Start or expand business/ Improve or expand farming activities (improving your livelihood-job, business or farm)",Gone to work,3,No,,1,0,1,0,1,111,1,,,,40-49,Primary,0,0,192,0,0,0,0,0,1,0.80000001,1,0,0,0,0,4.1666665,0,1,0,0,0,0,0.30769232,0.25,0.55192941,1,0,0,1,0.268264
